lambda_transition,artifact_model_name,model_family,validation_macro_f1,validation_wake_f1,validation_non_rem_f1,validation_rem_f1,macro_f1_delta_vs_lambda_0,Wake_f1_delta_vs_lambda_0,Non_REM_f1_delta_vs_lambda_0,REM_f1_delta_vs_lambda_0,predicted_wake_to_rem_transition_count,predicted_wake_to_rem_transition_rate,true_wake_to_rem_transition_count,true_wake_to_rem_transition_rate,validation_predicted_transition_count,validation_true_transition_count
0.0,stage16_equal_weight_seed_ensemble,stage16_equal_weight_seed_ensemble,0.506251,0.47562,0.771265,0.27187,0.0,0.0,0.0,0.0,5,0.000416,33,0.002747,12011,12011
0.001,stage19_transition_regularized_ensemble_lambda_0_001,transition_regularized_frozen_stage14_tcn_s61,0.505411,0.477182,0.77018,0.268872,-0.00084,0.001562,-0.001085,-0.002998,6,0.0005,33,0.002747,12011,12011
0.01,stage19_transition_regularized_ensemble_lambda_0_01,transition_regularized_frozen_stage14_tcn_s61,0.506201,0.476907,0.774458,0.267238,-5e-05,0.001288,0.003194,-0.004632,4,0.000333,33,0.002747,12011,12011
0.05,stage19_transition_regularized_ensemble_lambda_0_05,transition_regularized_frozen_stage14_tcn_s61,0.509597,0.480967,0.772572,0.275253,0.003346,0.005347,0.001308,0.003383,3,0.00025,33,0.002747,12011,12011
0.1,stage19_transition_regularized_ensemble_lambda_0_1,transition_regularized_frozen_stage14_tcn_s61,0.503539,0.480738,0.764983,0.264895,-0.002712,0.005119,-0.006282,-0.006974,4,0.000333,33,0.002747,12011,12011
0.25,stage19_transition_regularized_ensemble_lambda_0_25,transition_regularized_frozen_stage14_tcn_s61,0.497664,0.472125,0.770302,0.250563,-0.008588,-0.003494,-0.000962,-0.021307,9,0.000749,33,0.002747,12011,12011
0.5,stage19_transition_regularized_ensemble_lambda_0_5,transition_regularized_frozen_stage14_tcn_s61,0.499265,0.46621,0.771183,0.260401,-0.006986,-0.009409,-8.1e-05,-0.011469,6,0.0005,33,0.002747,12011,12011
0.75,stage19_transition_regularized_ensemble_lambda_0_75,transition_regularized_frozen_stage14_tcn_s61,0.494968,0.464706,0.763194,0.257004,-0.011283,-0.010914,-0.00807,-0.014866,8,0.000666,33,0.002747,12011,12011
1.0,stage19_transition_regularized_ensemble_lambda_1_0,transition_regularized_frozen_stage14_tcn_s61,0.490113,0.466385,0.770751,0.233202,-0.016139,-0.009235,-0.000513,-0.038668,7,0.000583,33,0.002747,12011,12011
