ablation_id,ablation_label,description,included_families,omitted_families,n_raw_channels,n_engineered_features,validation_macro_f1,validation_wake_f1,validation_non_rem_f1,validation_rem_f1,delta_macro_f1,delta_Wake_f1,delta_Non_REM_f1,delta_REM_f1
full,Full,All raw channels and engineered signal-family features.,"[""cardiovascular"", ""movement"", ""eda"", ""temperature""]",[],8,72,0.437671,0.38518,0.702982,0.224852,0.0,0.0,0.0,0.0
without_cardiovascular,No cardiovascular,"Exclude BVP, HR, and IBI raw channels and engineered features.","[""movement"", ""eda"", ""temperature""]","[""cardiovascular""]",5,48,0.419104,0.388053,0.701889,0.167369,-0.018567,0.002873,-0.001092,-0.057483
without_movement,No movement,Exclude accelerometer raw channels and engineered movement features.,"[""cardiovascular"", ""eda"", ""temperature""]","[""movement""]",5,40,0.440454,0.359519,0.760825,0.201018,0.002783,-0.02566,0.057843,-0.023834
without_eda,No EDA,Exclude EDA raw channel and engineered EDA features.,"[""cardiovascular"", ""movement"", ""temperature""]","[""eda""]",7,64,0.41264,0.349281,0.706157,0.182483,-0.025031,-0.035899,0.003176,-0.042369
without_temperature,No temperature,Exclude TEMP raw channel and engineered temperature features.,"[""cardiovascular"", ""movement"", ""eda""]","[""temperature""]",7,64,0.421041,0.354319,0.729084,0.17972,-0.01663,-0.030861,0.026102,-0.045132
cardiovascular_only,Cardiovascular only,"Use only BVP, HR, and IBI raw channels and engineered features.","[""cardiovascular""]","[""movement"", ""eda"", ""temperature""]",3,24,0.448835,0.362472,0.723192,0.260841,0.011164,-0.022708,0.02021,0.035988
movement_only,Movement only,Use only accelerometer raw channels and engineered movement features.,"[""movement""]","[""cardiovascular"", ""eda"", ""temperature""]",3,32,0.4272,0.370556,0.759032,0.152012,-0.010471,-0.014624,0.056051,-0.07284
eda_only,EDA only,Use only EDA raw channel and engineered EDA features.,"[""eda""]","[""cardiovascular"", ""movement"", ""temperature""]",1,8,0.37217,0.335808,0.780701,0.0,-0.065501,-0.049372,0.07772,-0.224852
temperature_only,Temperature only,Use only TEMP raw channel and engineered temperature features.,"[""temperature""]","[""cardiovascular"", ""movement"", ""eda""]",1,8,0.379462,0.335433,0.802954,0.0,-0.058209,-0.049747,0.099972,-0.224852
